,ds,y
766,2012-02-06,10
767,2012-02-07,16
768,2012-02-08,45
769,2012-02-09,33
770,2012-02-10,97
771,2012-02-11,11
772,2012-02-12,22
773,2012-02-13,20
774,2012-02-14,12
775,2012-02-15,35
776,2012-02-16,22
777,2012-02-17,34
778,2012-02-18,42
779,2012-02-19,61
780,2012-02-20,52
781,2012-02-21,153
782,2012-02-22,43
783,2012-02-23,72
784,2012-02-24,193
785,2012-02-25,82
786,2012-02-26,45
787,2012-02-27,19
788,2012-02-28,30
789,2012-02-29,42
790,2012-03-01,23
791,2012-03-02,168
792,2012-03-03,38
793,2012-03-04,34
794,2012-03-05,24
795,2012-03-06,51
796,2012-03-07,29
797,2012-03-08,76
798,2012-03-09,75
799,2012-03-10,51
800,2012-03-11,44
801,2012-03-12,46
802,2012-03-13,47
803,2012-03-14,98
804,2012-03-15,75
805,2012-03-16,61
806,2012-03-17,105
807,2012-03-18,126
808,2012-03-19,72
809,2012-03-20,111
810,2012-03-21,98
811,2012-03-22,138
812,2012-03-23,179
813,2012-03-24,144
814,2012-03-25,94
815,2012-03-26,123
816,2012-03-27,131
817,2012-03-28,161
818,2012-03-29,211
819,2012-03-30,324
820,2012-03-31,302
821,2012-04-01,253
822,2012-04-02,306
823,2012-04-03,604
824,2012-04-04,768
825,2012-04-05,859
826,2012-04-06,1119
827,2012-04-07,1040
828,2012-04-08,983
829,2012-04-09,481
830,2012-04-10,398
831,2012-04-11,379
832,2012-04-12,393
833,2012-04-13,528
834,2012-04-14,500
835,2012-04-15,330
836,2012-04-16,196
837,2012-04-17,174
838,2012-04-18,180
839,2012-04-19,344
840,2012-04-20,486
841,2012-04-21,276
842,2012-04-22,297
843,2012-04-23,255
844,2012-04-24,351
845,2012-04-25,279
846,2012-04-26,436
847,2012-04-27,561
848,2012-04-28,578
849,2012-04-29,563
850,2012-04-30,824
851,2012-05-01,972
852,2012-05-02,679
853,2012-05-03,601
854,2012-05-04,713
855,2012-05-05,745
856,2012-05-06,483
857,2012-05-07,359
858,2012-05-08,407
859,2012-05-09,560
860,2012-05-10,430
861,2012-05-11,845
862,2012-05-12,772
863,2012-05-13,651
864,2012-05-14,579
865,2012-05-15,523
866,2012-05-16,542
867,2012-05-17,749
868,2012-05-18,843
869,2012-05-19,902
870,2012-05-20,785
871,2012-05-21,673
872,2012-05-22,582
873,2012-05-23,798
874,2012-05-24,784
875,2012-05-25,996
876,2012-05-26,975
877,2012-05-27,806
878,2012-05-28,776
879,2012-05-29,705
880,2012-05-30,756
881,2012-05-31,785
882,2012-06-01,976
883,2012-06-02,936
884,2012-06-03,765
885,2012-06-04,733
886,2012-06-05,754
887,2012-06-06,719
888,2012-06-07,1006
889,2012-06-08,1320
890,2012-06-09,1320
891,2012-06-10,912
892,2012-06-11,693
893,2012-06-12,691
894,2012-06-13,740
895,2012-06-14,760
896,2012-06-15,913
897,2012-06-16,1033
898,2012-06-17,719
899,2012-06-18,604
900,2012-06-19,710
901,2012-06-20,655
